area,rooms,floor,total_floors,year_built,district,material,renovation,dist_to_center,price
108.1,4,7,18,2013,Алматы,монолит,косметический,4.96,160.81
78.3,2,9,24,1995,Сарыарка,монолит,евро,11.03,83.42
119.4,4,7,7,2012,Алматы,монолит,евро,0.7,238.54
95.8,4,5,6,1973,Алматы,монолит,евро,4.71,137.12
42.4,1,16,18,1977,Нура,панель,евро,21.06,18.46
120.8,5,14,17,1965,Есиль,монолит,евро,2.03,218.45
93.1,4,10,19,2004,Алматы,монолит,косметический,5.9,131.71
96.2,3,20,25,2008,Алматы,кирпич,евро,4.42,157.73
38.9,2,5,7,1978,Нура,кирпич,без ремонта,17.7,15.0
65.9,3,18,24,1985,Сарыарка,кирпич,евро,11.93,59.22
62.4,2,2,6,1997,Сарыарка,монолит,евро,11.18,69.44
117.5,5,4,16,2009,Алматы,монолит,евро,0.86,224.91
105.2,4,4,22,1979,Байконыр,монолит,евро,5.58,138.72
107.2,5,6,19,1992,Байконыр,кирпич,дизайнерский,4.94,149.81
68.8,1,9,9,1972,Байконыр,панель,евро,10.02,63.03
33.7,1,17,17,2013,Нура,кирпич,косметический,17.77,16.12
65.9,1,4,23,2017,Байконыр,кирпич,евро,8.68,70.94
41.2,1,5,9,2008,Нура,панель,дизайнерский,17.13,22.66
92.3,3,23,24,2013,Байконыр,кирпич,косметический,3.25,136.29
102.4,2,14,18,2010,Алматы,монолит,евро,5.43,174.07
101.3,2,4,6,2015,Байконыр,монолит,евро,4.75,168.75
77.7,4,7,11,1988,Алматы,кирпич,евро,10.35,77.55
125.3,3,8,23,1973,Есиль,монолит,дизайнерский,1.81,250.0
123.4,5,12,12,2023,Алматы,монолит,дизайнерский,1.82,249.84
103.4,2,2,24,1960,Алматы,панель,косметический,4.96,145.18
31.3,1,12,13,1986,Сарыарка,кирпич,косметический,18.63,15.0
60.7,1,11,12,2007,Сарыарка,панель,евро,11.34,63.98
41.6,1,6,22,2012,Сарыарка,панель,косметический,18.81,20.07
38.8,2,11,21,2005,Сарыарка,кирпич,косметический,19.62,17.28
103.4,2,9,10,1992,Алматы,монолит,евро,3.54,177.99
109.2,5,10,21,2020,Алматы,кирпич,дизайнерский,4.31,174.94
128.4,4,4,10,1975,Есиль,монолит,косметический,2.25,237.39
72.7,2,2,23,1969,Сарыарка,кирпич,дизайнерский,11.73,70.14
78.1,4,3,5,2001,Нура,кирпич,косметический,11.3,68.47
79.5,3,5,18,1981,Сарыарка,кирпич,евро,8.76,75.11
31.7,1,7,8,1990,Нура,кирпич,без ремонта,18.01,15.0
31.2,1,17,19,1990,Сарыарка,кирпич,косметический,16.52,15.0
73.0,2,9,25,1977,Сарыарка,панель,евро,10.85,67.8
41.3,2,4,19,2025,Сарыарка,панель,евро,21.07,20.12
96.9,3,5,14,1985,Алматы,монолит,евро,5.64,151.19
79.0,2,9,22,2004,Байконыр,панель,без ремонта,11.52,75.98
118.6,5,7,9,1970,Есиль,монолит,дизайнерский,2.18,235.45
96.0,3,3,16,2025,Алматы,монолит,дизайнерский,3.65,173.02
61.5,3,25,25,2025,Сарыарка,монолит,евро,10.72,66.09
117.6,4,9,12,1964,Алматы,монолит,евро,1.93,229.28
101.6,2,1,5,2002,Алматы,монолит,евро,3.0,158.99
67.2,3,5,14,1999,Сарыарка,кирпич,евро,10.74,71.31
34.4,2,11,15,1971,Нура,панель,косметический,17.42,15.0
98.6,2,12,22,2010,Алматы,монолит,евро,3.77,177.17
43.3,2,12,21,2010,Сарыарка,монолит,косметический,21.46,19.81
41.4,1,1,12,2015,Нура,монолит,без ремонта,16.45,18.95
40.5,2,9,21,1999,Нура,монолит,евро,18.92,18.22
99.5,3,5,8,2006,Байконыр,монолит,дизайнерский,4.46,179.28
91.4,3,6,8,2007,Алматы,монолит,косметический,5.46,128.15
93.0,2,8,17,2010,Байконыр,кирпич,евро,4.93,139.28
108.7,3,11,19,1998,Алматы,кирпич,евро,5.76,174.94
60.2,3,5,21,2009,Байконыр,монолит,евро,10.0,68.06
79.6,3,15,18,1963,Байконыр,кирпич,косметический,10.55,62.8
34.2,1,5,7,2000,Нура,панель,без ремонта,18.76,15.0
40.6,1,15,19,1973,Нура,панель,косметический,20.8,16.41
91.4,4,10,14,1986,Алматы,монолит,дизайнерский,4.37,140.23
78.1,2,10,10,2010,Сарыарка,монолит,косметический,9.18,84.12
60.6,3,11,12,1967,Сарыарка,панель,косметический,8.36,47.17
101.8,4,18,22,2009,Байконыр,кирпич,дизайнерский,4.17,166.94
105.1,4,3,8,1977,Алматы,монолит,косметический,3.69,133.14
60.4,1,2,16,2009,Байконыр,кирпич,евро,11.31,60.25
67.3,3,1,6,2010,Байконыр,кирпич,евро,11.77,68.37
65.2,3,16,20,1961,Байконыр,панель,евро,11.43,54.5
44.2,1,8,8,1975,Сарыарка,кирпич,без ремонта,15.97,17.09
76.9,3,16,24,2013,Сарыарка,панель,косметический,9.34,77.5
31.4,2,17,23,1982,Нура,кирпич,косметический,21.37,15.0
63.2,1,2,22,1988,Сарыарка,кирпич,косметический,8.37,61.41
120.4,3,7,12,1961,Алматы,кирпич,дизайнерский,1.38,212.33
34.9,1,13,21,2005,Нура,панель,косметический,18.72,15.01
33.5,1,2,7,1966,Нура,панель,косметический,19.1,15.0
35.9,1,9,11,1977,Нура,панель,без ремонта,18.57,15.0
41.1,1,3,7,1991,Нура,панель,косметический,15.25,16.76
90.2,4,2,6,2010,Байконыр,кирпич,евро,3.65,126.92
75.8,3,9,12,1992,Байконыр,монолит,евро,9.12,68.11
94.5,3,8,17,2024,Алматы,монолит,косметический,5.21,150.81
97.5,4,13,23,1994,Алматы,монолит,евро,3.24,130.92
71.1,1,3,5,1976,Сарыарка,кирпич,евро,11.37,68.0
100.1,4,9,13,1972,Алматы,монолит,евро,3.73,146.62
37.1,2,8,19,2011,Нура,панель,без ремонта,18.48,15.0
38.6,1,8,9,1990,Сарыарка,панель,без ремонта,16.84,15.0
34.7,1,18,20,1999,Нура,панель,косметический,17.4,15.0
96.8,3,8,16,1984,Алматы,монолит,косметический,5.66,130.41
67.5,1,3,16,1978,Сарыарка,панель,евро,10.62,64.0
32.1,1,2,7,1999,Сарыарка,кирпич,косметический,19.54,15.0
62.9,3,7,8,1979,Алматы,монолит,косметический,11.87,54.78
34.0,1,6,23,2025,Нура,кирпич,косметический,18.48,15.95
103.0,2,18,23,2008,Байконыр,кирпич,дизайнерский,4.73,177.17
80.0,3,10,14,2014,Сарыарка,панель,косметический,9.37,80.17
72.4,1,8,17,1978,Байконыр,панель,евро,10.21,69.31
68.8,3,3,16,1961,Байконыр,монолит,евро,11.16,63.18
94.5,3,9,15,1963,Байконыр,монолит,евро,3.14,130.45
67.4,1,14,19,2016,Сарыарка,кирпич,косметический,8.94,70.58
42.9,1,3,16,2017,Сарыарка,кирпич,без ремонта,15.65,19.32
39.0,1,6,7,2004,Сарыарка,панель,косметический,15.51,17.3
117.2,4,2,6,1998,Алматы,монолит,дизайнерский,1.0,250.0
129.2,4,10,22,1973,Есиль,монолит,дизайнерский,1.84,250.0
90.5,4,11,20,2010,Алматы,кирпич,евро,5.11,131.59
35.7,2,7,9,1994,Нура,панель,евро,16.3,15.27
125.8,3,2,6,1999,Есиль,монолит,дизайнерский,1.59,250.0
90.0,2,4,9,1961,Байконыр,монолит,дизайнерский,4.52,139.28
96.9,4,14,17,1994,Байконыр,монолит,евро,5.56,142.13
78.1,3,6,17,2005,Байконыр,монолит,евро,11.86,87.17
41.8,1,5,8,2010,Нура,панель,без ремонта,16.34,20.23
31.0,1,4,8,1969,Сарыарка,панель,косметический,19.26,15.0
126.9,3,1,9,1962,Алматы,монолит,дизайнерский,0.84,250.0
76.4,2,8,14,2016,Сарыарка,монолит,евро,10.37,90.35
33.8,1,4,9,1980,Нура,панель,косметический,16.24,15.0
76.2,2,4,14,1991,Байконыр,кирпич,евро,8.03,73.05
72.3,1,5,5,2001,Байконыр,панель,косметический,8.1,73.37
33.5,2,19,24,1992,Сарыарка,кирпич,евро,21.17,15.16
126.2,4,7,23,2022,Есиль,кирпич,евро,2.42,250.0
97.2,3,7,12,2015,Байконыр,кирпич,евро,5.05,164.98
109.0,5,16,21,1985,Байконыр,панель,без ремонта,3.01,131.82
77.8,4,1,16,1972,Байконыр,кирпич,косметический,11.53,60.21
90.9,4,1,5,2024,Есиль,кирпич,косметический,3.62,122.0
100.6,2,6,10,2006,Байконыр,кирпич,без ремонта,3.77,140.83
101.6,4,6,6,2009,Байконыр,монолит,евро,5.11,164.8
44.8,2,18,19,1990,Нура,кирпич,косметический,16.47,19.71
66.0,1,10,21,1992,Сарыарка,монолит,евро,10.58,70.1
40.6,2,12,17,1971,Нура,кирпич,косметический,15.64,17.69
74.1,3,3,5,1988,Байконыр,монолит,дизайнерский,11.05,76.67
68.1,3,9,9,1995,Байконыр,кирпич,дизайнерский,11.14,69.73
39.3,1,8,14,1968,Нура,панель,без ремонта,21.13,15.0
30.1,1,8,8,2001,Сарыарка,панель,без ремонта,17.07,15.0
104.0,4,3,7,2000,Алматы,кирпич,евро,4.53,158.92
